molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value,bioactivity_class,MW,LogP,HBD,HBA
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,41.0,nM,7.39,active,383.814,4.450340000000002,3.0,4.0
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,300.0,nM,6.52,active,383.814,4.450340000000002,3.0,4.0
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,170.0,nM,6.77,active,482.9030000000001,3.614320000000001,3.0,6.0
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,40.0,nM,7.40,active,482.9030000000001,3.614320000000001,3.0,6.0
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,440.0,nM,6.36,active,482.9030000000001,3.614320000000001,3.0,6.0
CHEMBL306988,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,500000.0,nM,,inactive,283.287,2.3105600000000006,2.0,4.0
CHEMBL66879,O=C(O)/C=C/c1ccc(O)cc1,3000000.0,nM,,inactive,164.16,1.49,2.0,2.0
CHEMBL77085,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],96000.0,nM,4.02,inactive,215.16799999999998,1.73096,1.0,5.0
CHEMBL76979,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,264000.0,nM,,inactive,249.22199999999998,1.40098,2.0,5.0
CHEMBL76589,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,125.0,nM,6.90,active,236.234,1.55914,2.0,5.0
CHEMBL77724,COc1cc(C=C(C#N)C#N)cc(OC)c1,1250000.0,nM,,inactive,214.224,2.13436,0.0,4.0
CHEMBL420385,N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,625000.0,nM,,inactive,239.2779999999999,1.95376,0.0,4.0
CHEMBL76904,N#CC(C#N)=Cc1ccc(O)c(O)c1,35000.0,nM,4.46,inactive,186.17,1.52836,2.0,4.0
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,900000.0,nM,,inactive,197.18999999999997,0.052200000000000135,4.0,4.0
CHEMBL304271,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,0.45,nM,9.35,active,542.0150000000001,3.57442,5.0,7.0
CHEMBL296407,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,10000.0,nM,5.00,inactive,204.18499999999997,0.4900799999999999,3.0,4.0
CHEMBL309625,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,60000.0,nM,4.22,inactive,281.231,1.4673399999999999,2.0,7.0
CHEMBL77825,COc1ccc(NN=C(C#N)C#N)cc1,600000.0,nM,,inactive,200.20100000000002,1.5102599999999997,1.0,5.0
CHEMBL421877,COc1cc(C=C(C#N)C#N)cc(OC)c1O,850000.0,nM,,inactive,230.22299999999998,1.83996,1.0,5.0
CHEMBL309866,N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O,1300000.0,nM,,inactive,218.16799999999998,1.5863800000000001,1.0,4.0
CHEMBL77381,N#C/C(=C/c1ccc[nH]1)C(=O)O,1360000.0,nM,,inactive,162.14799999999997,1.0062799999999998,2.0,2.0
CHEMBL76602,N#C/C(=C\c1ccc(O)cc1)C(=O)O,165000.0,nM,,inactive,189.17,1.3837799999999998,2.0,3.0
CHEMBL77737,N#CC(C#N)=Cc1ccncc1,250000.0,nM,,inactive,155.15999999999997,1.51216,0.0,3.0
CHEMBL76983,N#CC(C#N)=Cc1ccc(F)cc1,1250000.0,nM,,inactive,172.16199999999998,2.25626,0.0,2.0
CHEMBL308134,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,125000.0,nM,,inactive,215.16799999999998,1.7309600000000003,1.0,5.0
CHEMBL136491,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,14.0,nM,7.85,active,326.791,4.587100000000003,1.0,5.0
CHEMBL77280,CC(=C(C#N)C#N)c1ccc(N)cc1,1250000.0,nM,,inactive,183.214,2.08946,1.0,3.0
CHEMBL76557,N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,625000.0,nM,,inactive,227.223,0.93896,2.0,4.0
CHEMBL336113,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,1000.0,nM,6.00,active,250.30500000000004,3.2640200000000004,2.0,4.0
CHEMBL133024,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,100.0,nM,7.00,active,312.76400000000007,4.435700000000002,2.0,5.0
